Date,Open,High,Low,Close,Volume,Adj Close
2009-09-25,21.10,21.20,20.83,20.86,35133500,20.86
2009-09-24,21.16,21.35,21.06,21.17,28386500,21.17
2009-09-23,21.47,21.47,21.05,21.13,40676000,21.13
2009-09-22,21.59,21.71,21.35,21.41,34151900,21.41
2009-09-21,21.56,21.82,21.50,21.57,25486700,21.57
2009-09-18,21.72,21.87,21.57,21.62,70093600,21.62
2009-09-17,21.42,21.77,21.32,21.52,92130200,21.52
2009-09-16,22.60,22.61,21.98,22.13,85853100,22.13
2009-09-15,22.73,22.88,22.60,22.66,24786600,22.66
2009-09-14,22.78,22.93,22.60,22.72,24066100,22.72
2009-09-11,22.82,22.95,22.67,22.86,22600600,22.86
